"Nombre Rutina";"sistema";"Grupo (Arbol Equipos)";"Lugar";"Frecuencia";"Frecuencia Horas ";"Frecuencia Kms ";"No. de frecuencias a cumplir";"Tiempo de Ejecución en minutos";"Tipo de Manto";"Prioridad";"Orden Actividad";"Nombre Actividad";"Descripción";"Tiempo actividad en minutos";"Cargo";"Tiempo"
"Sistema de suspension 3";13;112;;"Mensual";;"20.000 ";;;"Preventivo";"Alta";3;"LUB-EJE-DIR";"Lubricacion eje direccion";15;14;15
"Sistema de suspension 4";13;112;;"Mensual";;"10.000 ";;;"Preventivo";"Alta";4;"APR-GRA-MUE";"Apriete grapas muelle";30;14;30
;13;112;;"Mensual";;"10.000 ";;;"Preventivo";"Alta";5;"APR-PER-MUE";"Apriete pernos muelle";30;14;30
;13;112;;"Mensual";;"10.000 ";;;"Preventivo";"Alta";6;"ROT-LLAN";"Rotacion de llantas";60;20;60
"MANTENIMIENTO DE SEGURIDAD 1";6;107;"Interno";"Semestral";;;1;90;"Preventivo";"Alta";1;"REV-SWI-ARR";"Revisión Switche de Arranque";10;12;10
;6;107;;;;;;;;;2;"REV-SIS-ESC";"Revision Sistema de Escape de los gases de combustión (exostos)";10;12;10
;6;107;;;;;;;;;3;"REV-MOT-LIM";"Revisión Motor Limpiaparabrisas y Plumillas";10;15;10
;6;107;;;;;;;;;4;"REV-SEG-ASI";"Seguros de los Asientos";10;12;10
;6;107;;;;;;;;;5;"REV-SIS-LUC";"Revision sistema de luces";10;15;10
;6;107;;;;;;;;;6;"REV-SIS-FRE";"Revision de frenos";10;12;10
;6;107;;;;;;;;;7;"REV-REC";"Revision de recamaras";10;12;10
;6;107;;;;;;;;;8;"REV-MANG-FRE";"Revision mangueras frenos";10;12;10
;6;107;;;;;;;;;9;"REV-MANG-HID";"Revision mangueras hidraulicas";10;12;10
"MANTENIMIENTO DE SEGURIDAD 2";6;107;"Interno";"Mensual";;;1;40;"Preventivo";"Alta";1;"REV-SWI-ARR";"Revisión Freno de Parqueo";10;12;10
;6;107;;;;;;;;;2;"REV-CAR-ALT";"Revision carga alternador";10;15;10
;6;107;;;;;;;;;3;"REV-MOT-ARR";"Revision motor arranque";10;15;10
;6;107;;;;;;;;;4;"REV-SIS-ESC";"Revisión de sensores";10;12;10
"MANTENIMIENTO QUINCENAL";6;107;"Interno";"Quincenal";;;1;45;"Preventivo";"Alta";1;"REV-SIS-ESC";"Revisión sistema de Escape";10;14;10
;6;107;;;;;;;;;2;"REV-SUS-DIR";"Revision de la Suspensión y La Dirección";15;14;15
;6;107;;;;;;;;;3;"REV-VAR-ALI-COM";"Revision  varillaje alimentación de combustible";20;14;20
;6;107;;;;;;;;;4;"REV-TAP-TAN";"Revisión tapa, tanque y líneas de Combustible";10;14;10
